No,Route No,Service,Route Grade,Daily Operation,Number of Turn,KM,Daily Running to KM,SC 50-60,40-49,30-39,20-29,Total Buses,Check Sum
147,188/1,Raddoluwa - seeduwa,B,3,36,3.4,20.4,,,6,,6,6
148,189,Weyangoda - pasyala,B,13,36,16,416,2,3,17,,22,22
149,190,Meegoda - pettah,A,42,125,29,7200,40,10,,,50,50
150,190,Meegoda - pettah,A,1,14,29,806,2,1,1,3,7,7
151,191,Weyangoda - mallehewa,B,1,4,14,56,,,2,,2,2
152,192,Moratuwa - maharagama,B,19,147,18,4839.6,2,22,,,24,24
153,193,Kadawatha - townhall,A,6,38,17.5,175,3,6,,,9,9
154,196,Meerigama - weweldeniya,B,4,38,6.4,64,,,8,,8,8
155,199/4,Kelaniya - kiribathgoda,B,1,4,15,60,,,2,,2,2
156,200,Gampaha - pettah,A,41,90,31.7,5316,29,25,,,54,54
157,201,Gampaha - ja-ela,A,19,78,14.8,1065.6,12,14,,,26,26
158,201,Gampaha - nittambuwa,A,29,84,45.4,893,21,20,,,41,41
159,201/2,Gampaha - nittambuwa,B,1,4,30,120,,1,,,1,1
160,202,Gampaha - kiridiwela,A,31,4,22,1364,18,25,,,43,43
161,203,Homagama - horagala,B,2,8,10,160,,1,2,,3,3
162,204/227,Rabarwattha - biyagama,B,1,,,,,1,,,1,1
163,205,Kiridiwela - gamapaha,B,13,24,21,547,6,14,1,,21,21
164,206,Gamapaha - weyangoda,B,1,4,19.5,40,,1,1,,2,2
165,206/1,Gamapaha - morupala,B,1,4,4,80,,,1,,1,1
166,207,Pugoda - gamapaha,B,13,4,28.8,812,18,7,2,,27,27
167,207/1,Pugoda - wedagama,BC,1,6,15,30,,,2,,2,2
168,208,Moratuwa - idibadda,B,8,32,6.5,416,,3,9,,12,12
169,210,Delgoda-kadawatha,B,1,,,,,,1,,,1
170,211,Gamapaha - diwulapitiya,A,23,18,20.5,721,17,15,,,32,32
171,212,Maharagama - jayawardhananpura hospital,A,10,60,2.6,312,1,9,2,,12,12
172,212/174/1 71,Maharagama - pettah,A,,,,,,1,,,1,1
173,215,Gampaha - weeragula,B,3,36,10.8,66,3,2,,,5,5
174,216,Delgoda - kadawatha,B,6,36,10,120,,1,10,,11,11
175,216/2,Kadawatha - delgoda,B,1,4,,,,,1,,1,1
176,218,Parakandeniya - fort,A,2,8,25,200,,3,,,3,3
177,219,Hanwella - wevelpanawa,B,3,12,7,168,,4,,,4,4
178,219,Homagama - hanwella,A,3,12,16,384,,4,,,4,4
179,219,Hanwella-pettah,A,1,2,40,160,,,,1,1,1
180,221,Nittambuwa - giriulla,A,31,96,26.8,1662,26,20,,,46,46
181,221/2,Mallahawa - weyangoda,B,1,80,8.5,17,,,1,,1,1
182,222,Kadawatha - ragama,AB,20,74,5.6,224,5,18,,,23,23
183,223,Kadawatha - ganemulla,A,23,74,8.7,400,13,17,,,30,30
184,224,Pugoda - pettah,A,22,,38.7,1621,15,13,,,28,28
185,225,Kiridiwela - pettah,A,1,8,30,120,,3,1,,4,4
186,225/1,Delgoda - kiridiwela,B,4,16,19.7,158,,3,7,,10,10
187,226,Dekatana - pettah,A,5,24,24.9,249,,10,,,10,10
188,228,Weliweriya - pettah,A,21,44,30.9,1298,19,17,,,36,36
189,228/1,Gamapaha - kaduwela,A,31,56,23.4,1451,35,15,,,50,50
190,"228/1,270",Kaduwela-negembo,,,,,,,,,,0,0
191,230,Kiribathgoda - pettah,A,13,56,17.2,447,7,10,,,17,17
192,231,Kiridiwela - gamapaha,B,19,60,23.2,882,11,22,,,33,33
194,231/4,Gampaha - aluthgamawattha,B,,,,,,,,,0,0
195,231/5,Gamapaha - jambolagas junction,B,1,4,8,16,,,1,,1,1
196,234,Delgoda - pettah,A,16,39,23.5,752,22,12,,,34,34
197,234/1,Delgoda - pettah,A,,,,,,,,,0,0
198,234/2,Akurumulla - fort,A,1,4,,,,,1,,1,1
199,235,Kelaniya - fort,B,,,14.5,,,,1,,1,1
200,236,Mabima - fort,A,2,,18.1,74,,,1,1,2,2
201,236,Mabima - kiribathgoda,B,4,,10,80,,,2,2,4,4
202,237,Hanwella - kaduwela,B,3,36,12,144,,,2,1,3,3
203,239/1,Udugama - padukka,A,,4,24,0,,,1,,1,1
204,239,Padukka - waga,B,10,40,11,880,2,3,8,,13,13
205,239/2,Avissawella - padukka,A,2,8,10,160,,3,,,3,3
206,239/3,Avissawella - kalatuwawa,B,1,3,20,120,1,,,,1,1
207,240,Negombo - pettah,A,7,72,39.4,19857.6,,2,3,4,9,9
208,240,Negombo - colombo,A,40,274,40.9,2944.8,36,41,,,77,77
209,240,Negombo - pettah,A,32,192,38.1,112.8,5,9,16,19,49,49
210,240/100,Negombo - panadura,,1,4,,,,2,,,2,2
211,240/138,Negombo-horana,A,1,4,,,,,1,,1,1
212,240/138,Negombo-kottawa,A,2,8,,,,,,2,2,2
213,240/138,Negombo-kaluthara,A,1,4,,,,,1,,1,1
214,240/400,Negombo-aluthgama,A,1,4,,,,,,1,1,1
215,240/3,Negombo - awariwatta,B,12,96,12.5,,2,7,15,1,25,25
216,242,Negombo - diwulapitiya,B,22,132,20.9,2758,3,25,4,,32,32
217,242,Meerigama - diwulapitiya,B,11,72,22,484,,,10,8,18,18
218,244,Gamapaha - negombo,A,25,190,28.2,2070,1,21,16,1,39,39
219,245,Minuwangoda - negombo,B,11,88,19.3,1698.4,3,14,,,17,17
220,245/1,Weyangoda-air port,A,26,80,22,2112,19,36,,,55,55
221,245-1/182,Awissawella-weyangoda,A,1,,,,,1,,,1,1
222,246,Negombo - minuwangoda,A,15,120,21.1,,,11,8,,19,19
223,250,Negombo - madampella,B,3,24,16,384,,1,4,,5,5
224,251/5,Maningamuwa - pannala,B,2,8,7,56,,2,,,2,2
225,251,Meerigama - negombo,B,23,16,35,280,5,26,4,,35,35
226,255,Kottawa - mt.lavinia,A,56,204,26,8784,7,59,,,66,66
227,255,Kottawa - mt.lavinia,A,1,2,20,80,,,,4,4,4
228,255/1,Katubedda - molpe,A,3,50,1.5,150,,,4,,4,4
229,259,Nugegoda - thalapathpitiya,B,2,8,5,80,1,2,,,3,3
230,260,Hadala - colombo,A,16,128,13.7,1753.6,7,17,,,24,24
231,261,Mhara junction- pettah,A,16,,21,756,25,9,,,34,34
232,261/240,Negembo-kaduwela,A,3,18,,,,,2,2,4,4
233,262,Ragama - pettah,A,21,168,15,2520,14,19,,,33,33
234,262/2,Ragama - dambuwa,B,3,5,2.8,14,,3,1,,4,4
235,264,Ragama - ja-ela,B,6,60,6.8,408,,,8,,8,8
236,264/1,Ragama - kandana (jayasrigama),B,2,5,9,45,,2,2,,4,4
237,265,Divulapitya-fort,A,1,4,,,,,1,,1,1
238,265,Minuwangoda - pettah,A,1,2,32.8,131.2,,3,1,2,6,6
239,265,Minuwangoda - pettah,A,35,210,32.8,6888,9,39,,,48,48
240,265/1,Minuwangoda - divulapitiya,B,10,80,10.8,864,1,1,13,,15,15
241,265/2,Minuwangoda - sethsiripaya,A,1,1,,,,1,,,1,1
242,266,Ja-ela - ganemulla,B,2,4,9,36,,,3,,3,3
243,267/1,Raddoluwa - ja-ela(raja mawatha),B,2,20,10.5,210,,1,1,,2,2
244,268,Minuwangoda - badalgama,B,13,78,19.2,1497.6,2,8,11,,21,21
245,268/2,Gampaha - godigmuwa,B,1,88,,,,,,1,1,1
246,270,Gampaha - airport,A,40,35,22,2020,27,30,0,,57,57
247,270/1,Gampaha - minuwangoda,B,2,10,18,72,,,2,,2,2
248,270/2,Gampaha-uggalboda,B,1,4,14,22,,,2,,2,2
249,271,Ragama - kandana,B,6,72,6.9,496.8,,,9,,9,9
250,272,Weyangoda - galapitamada,B,7,3,24.8,,1,9,,,10,10
251,272/2,Weyangoda - mahakanda,B,1,10,25,250,,1,,,1,1
252,272/1,Galapitamada-weyangoda,B,,,,,,,,,0,0
253,273,Negombo - ja-ela,A,12,72,24.5,1764,3,16,,,19,19
254,275,Bopitiya - pettah,A,9,54,23.5,1269,1,12,,,13,13
255,276,Kandana - gampaha,B,8,48,14.9,715,,3,9,,12,12
256,276,Gampahana - jaela,B,1,4,18,,,,1,1,2,2
257,277,Bopitiya - pettah,A,1,6,,,,1,,,1,1
258,278,Ja-ela - ganemulla,B,7,4,9,36,,6,5,,11,11
259,280,Horana - maharagama,A,23,63,30,8704.4,2,22,,,24,24
260,280/138,Diyagama - pettah,A,2,6,21,252,,1,1,,2,2
261,281,Horana - thalgahawila,B,3,8,16,256,1,2,,,3,3
262,281/1,Horana - horakatiya,,,,,,,,,,0,0
263,281/2,Horana - adaviya,B,1,4,8,64,,,1,,1,1
264,281/2,Horana - uduwa,B,1,4,5.5,44,,,1,,1,1
265,282,Horana - padukka,A,11,42,18.8,1275.2,,15,1,,16,16
266,284,Horana - moronthuduwa,B,4,8,14.5,232,,6,,,6,6
267,284/3,Horana - boralassa,B,1,4,10,80,,1,,,1,1
268,285,Mathugama - horana,A,26,60,42.3,5076,8,32,,,40,40
269,285,Mathugama - horana,A,1,3,42.3,253.8,,,1,,1,1
