No,Route No,Service,Route Grade,Daily Operation,Number of Turn,KM,Daily Running to KM,SC 50-60,40-49,30-39,20-29,Total Buses,Check Sum
354,422/1,Mathugama - gulawita,B,1,3,26.8,160.8,,,1,1,2,2
355,423,Kaluthara - neboda,B,7,18,21.7,781.2,1,11,2,,14,14
356,423/400,Neboda - pettah,A,1,4,65.4,523.2,1,,,,1,1
357,425,Kaluthara - bandaragama,A,17,42,18.4,1545.6,4,18,,,22,22
358,426,Kaluthara - serupita,,,,,,,,,,0,0
359,428,Walallawita - pettah,B,6,10,90.2,1804,3,4,,,7,7
360,428/1,Mathugama - avitthawa,B,4,8,31.2,499.2,,6,,,6,6
361,429,Meerigama - warakapola,B,4,4,13.5,108,,,7,,7,7
362,429/1,Meerigama - dan owita,B,2,3,8,24,,1,1,,2,2
363,429/2,Meerigama - dan owita via kandalama,,1,2,,,,,2,,2,2
364,430,Mathugama - pettah,A,34,109,66.7,38811.2,,1,5,41,47,47
365,430,Mathugama - pettah,A,42,140,66.7,19040.8,,14,34,,48,48
366,430/1,Kaluthara - mathugama,A,27,70,23,3220,4,29,,,33,33
367,431,Mathugama - kudaligama,B,2,4,14.5,116,,3,,,3,3
368,431/2,Kudaligama - colombo,A,1,6,101,1212,,2,,,2,2
369,433,Baduraliya - pettah,A,2,8,88.9,1422,1,1,,,2,2
370,433,Hedigalla - pettah,A,1,4,96,768,,1,,,1,1
371,433/1,Kalugala - pettah,A,2,4,93.4,747.2,,2,,,2,2
372,433/2,Athwelthota - pettah,A,3,3,92,552,2,2,,,4,4
373,433/4,Mathugama - baduraliya,B,10,18,18.2,655.2,,14,,,14,14
374,433/4,Agalawattha - pettah,A,1,1,72.8,145.6,,2,,,2,2
375,433/5,Baduraliya - dikhena,B,2,3,20,120,,3,,,3,3
376,434,Dhartonfield - pettah,A,2,2,78.9,315.6,1,1,,,2,2
377,434/4,Mathugama - dolahena,,,,,,,,,,0,0
378,435,Pelawattha - pettah,A,1,1,94.2,188.4,,,1,,1,1
379,435,Pelawattha - pettah,A,5,5,94.2,942,2,4,,,6,6
380,435-1,Mathugama-pahalawassa,B,1,1,33.5,67,,,1,,1,1
381,435-2,Mathugama-pelawattha,A,8,8,27.5,440,1,9,,,10,10
382,435/2,Mathugama - pelawattha (via kumbadoowa),B,,,22,,,1,,,1,1
383,435/4,Mathugama - agalawattha,A,8,20,6.1,244,,8,1,,9,9
384,435/4,Rathmalay - pettah,A,1,1,75.2,150.4,,1,,,1,1
385,435/1,Mathugama - pahalahewessa,,,,,,,,,,0,0
